	Movie Name	Release Year	Directors Name	Production Company	Budget
0	Everything Everywhere All at Once	2022	Daniel Kwan Daniel Scheinert		$14.3–25 million[2][3]
1	All Quiet on the Western Front	2022	Edward Berger	Amusement Park	$20 million[2]
2	The Whale	2022	Darren Aronofsky	Protozoa Pictures	$3 million[2]
3	Top Gun: Maverick	2022	Joseph Kosinski		$170–177 million[3][1]
4	Black Panther: Wakanda Forever	2022	Ryan Coogler	Marvel Studios	$200–250 million[2][3]
5	Avatar: The Way of Water	2022	James Cameron		$350–460 million[2][3]
6	('Women Talking', '/wiki/Women_Talking_(film)')	('2022', '/wiki/2022_in_film')			
7	"(""Guillermo del Toro's Pinocchio"", '/wiki/Guillermo_del_Toro%27s_Pinocchio')"	('2022', '/wiki/2022_in_film')			
8	('Navalny', '/wiki/Navalny_(film)')	('2022', '/wiki/2022_in_film')			
9	('The Elephant Whisperers', '/wiki/The_Elephant_Whisperers')	('2022', '/wiki/2022_in_film')			
10	('An Irish Goodbye', '/wiki/An_Irish_Goodbye')	('2022', '/wiki/2022_in_film')			
11	('The Boy, the Mole, the Fox and the Horse', '/wiki/The_Boy,_the_Mole,_the_Fox_and_the_Horse_(film)')	('2022', '/wiki/2022_in_film')			
12	('RRR', '/wiki/RRR_(film)')	('2022', '/wiki/2022_in_film')			
13	('CODA', '/wiki/CODA_(2021_film)')	('2021', '/wiki/2021_in_film')			
14	('Dune', '/wiki/Dune_(2021_film)')	('2021', '/wiki/2021_in_film')			
15	('The Eyes of Tammy Faye', '/wiki/The_Eyes_of_Tammy_Faye_(2021_film)')	('2021', '/wiki/2021_in_film')			
16	('No Time to Die', '/wiki/No_Time_to_Die')	('2021', '/wiki/2021_in_film')			
17	('The Windshield Wiper', '/wiki/The_Windshield_Wiper')	('2021', '/wiki/2021_in_film')			
18	('The Long Goodbye', '/wiki/The_Long_Goodbye_(Riz_Ahmed_album)')	('2021', '/wiki/2021_in_film')			
19	('The Queen of Basketball', '/wiki/The_Queen_of_Basketball')	('2021', '/wiki/2021_in_film')			
20	('Summer of Soul', '/wiki/Summer_of_Soul')	('2021', '/wiki/2021_in_film')			
21	('Drive My Car', '/wiki/Drive_My_Car_(film)')	('2021', '/wiki/2021_in_film')			
22	('Encanto', '/wiki/Encanto')	('2021', '/wiki/2021_in_film')			
23	('West Side Story', '/wiki/West_Side_Story_(2021_film)')	('2021', '/wiki/2021_in_film')			
24	('Belfast', '/wiki/Belfast_(film)')	('2021', '/wiki/2021_in_film')			
25	('The Power of the Dog', '/wiki/The_Power_of_the_Dog_(film)')	('2021', '/wiki/2021_in_film')			
26	('King Richard', '/wiki/King_Richard_(film)')	('2021', '/wiki/2021_in_film')			
27	('Cruella', '/wiki/Cruella_(film)')	('2021', '/wiki/2021_in_film')			
28	('Nomadland', '/wiki/Nomadland_(film)')	('2020/21', '/wiki/2020_in_film')			
29	('The Father', '/wiki/The_Father_(2020_film)')	('2020/21', '/wiki/2020_in_film')			
30	('Judas and the Black Messiah', '/wiki/Judas_and_the_Black_Messiah')	('2020/21', '/wiki/2020_in_film')			
31	('Minari', '/wiki/Minari_(film)')	('2020/21', '/wiki/2020_in_film')			
32	('Mank', '/wiki/Mank')	('2020/21', '/wiki/2020_in_film')			
33	('Sound of Metal', '/wiki/Sound_of_Metal')	('2020/21', '/wiki/2020_in_film')			
34	"(""Ma Rainey's Black Bottom"", '/wiki/Ma_Rainey%27s_Black_Bottom_(film)')"	('2020/21', '/wiki/2020_in_film')			
35	('Promising Young Woman', '/wiki/Promising_Young_Woman')	('2020/21', '/wiki/2020_in_film')			
36	('Tenet', '/wiki/Tenet_(film)')	('2020/21', '/wiki/2020_in_film')			
37	('Soul', '/wiki/Soul_(2020_film)')	('2020/21', '/wiki/2020_in_film')			
38	('Another Round', '/wiki/Another_Round_(film)')	('2020/21', '/wiki/2020_in_film')			
39	('My Octopus Teacher', '/wiki/My_Octopus_Teacher')	('2020/21', '/wiki/2020_in_film')			
40	('Colette', '/wiki/Colette_(2020_film)')	('2020/21', '/wiki/2020_in_film')			
41	('If Anything Happens I Love You', '/wiki/If_Anything_Happens_I_Love_You')	('2020/21', '/wiki/2020_in_film')			
42	('Two Distant Strangers', '/wiki/Two_Distant_Strangers')	('2020/21', '/wiki/2020_in_film')			
43	('Parasite', '/wiki/Parasite_(2019_film)')	('2019', '/wiki/2019_in_film')			
44	('Ford v Ferrari', '/wiki/Ford_v_Ferrari')	('2019', '/wiki/2019_in_film')			
45	"(""Learning to Skateboard in a Warzone (If You're a Girl)"", '/wiki/Learning_to_Skateboard_in_a_Warzone_(If_You%27re_a_Girl)')"	('2019', '/wiki/2019_in_film')			
46	"(""The Neighbors' Window"", '/wiki/The_Neighbors%27_Window')"	('2019', '/wiki/2019_in_film')			
47	('Little Women', '/wiki/Little_Women_(2019_film)')	('2019', '/wiki/2019_in_film')			
48	('Marriage Story', '/wiki/Marriage_Story')	('2019', '/wiki/2019_in_film')			
49	('Jojo Rabbit', '/wiki/Jojo_Rabbit')	('2019', '/wiki/2019_in_film')			
50	('Toy Story 4', '/wiki/Toy_Story_4')	('2019', '/wiki/2019_in_film')			
51	('Joker', '/wiki/Joker_(2019_film)')	('2019', '/wiki/2019_in_film')			
52	('Once Upon a Time in Hollywood', '/wiki/Once_Upon_a_Time_in_Hollywood')	('2019', '/wiki/2019_in_film')			
53	('1917', '/wiki/1917_(2019_film)')	('2019', '/wiki/2019_in_film')			
54	('Judy', '/wiki/Judy_(film)')	('2019', '/wiki/2019_in_film')			
55	('Bombshell', '/wiki/Bombshell_(2019_film)')	('2019', '/wiki/2019_in_film')			
56	('Rocketman', '/wiki/Rocketman_(film)')	('2019', '/wiki/2019_in_film')			
57	('American Factory', '/wiki/American_Factory')	('2019', '/wiki/2019_in_film')			
58	('Hair Love', '/wiki/Hair_Love')	('2019', '/wiki/2019_in_film')			
59	('Green Book', '/wiki/Green_Book_(film)')	('2018', '/wiki/2018_in_film')			
60	('Bohemian Rhapsody', '/wiki/Bohemian_Rhapsody_(film)')	('2018', '/wiki/2018_in_film')			
61	('Roma', '/wiki/Roma_(2018_film)')	('2018', '/wiki/2018_in_film')			
62	('Black Panther', '/wiki/Black_Panther_(film)')	('2018', '/wiki/2018_in_film')			
63	('The Favourite', '/wiki/The_Favourite')	('2018', '/wiki/2018_in_film')			
64	('A Star Is Born', '/wiki/A_Star_Is_Born_(2018_film)')	('2018', '/wiki/2018_in_film')			
65	('Vice', '/wiki/Vice_(2018_film)')	('2018', '/wiki/2018_in_film')			
66	('BlacKkKlansman', '/wiki/BlacKkKlansman')	('2018', '/wiki/2018_in_film')			
67	('First Man', '/wiki/First_Man_(film)')	('2018', '/wiki/2018_in_film')			
68	('If Beale Street Could Talk', '/wiki/If_Beale_Street_Could_Talk_(film)')	('2018', '/wiki/2018_in_film')			
69	('Bao', '/wiki/Bao_(film)')	('2018', '/wiki/2018_in_film')			
70	('Free Solo', '/wiki/Free_Solo')	('2018', '/wiki/2018_in_film')			
71	('Period. End of Sentence.', '/wiki/Period._End_of_Sentence.')	('2018', '/wiki/2018_in_film')			
72	('Skin', '/wiki/Skin_(2018_short_film)')	('2018', '/wiki/2018_in_film')			
73	('Spider-Man: Into the Spider-Verse', '/wiki/Spider-Man:_Into_the_Spider-Verse')	('2018', '/wiki/2018_in_film')			
74	('The Shape of Water', '/wiki/The_Shape_of_Water')	('2017', '/wiki/2017_in_film')			
75	('Dunkirk', '/wiki/Dunkirk_(2017_film)')	('2017', '/wiki/2017_in_film')			
76	('Three Billboards Outside Ebbing, Missouri', '/wiki/Three_Billboards_Outside_Ebbing,_Missouri')	('2017', '/wiki/2017_in_film')			
77	('Darkest Hour', '/wiki/Darkest_Hour_(film)')	('2017', '/wiki/2017_in_film')			
78	('Blade Runner 2049', '/wiki/Blade_Runner_2049')	('2017', '/wiki/2017_in_film')			
79	('Coco', '/wiki/Coco_(2017_film)')	('2017', '/wiki/2017_in_film')			
80	('Phantom Thread', '/wiki/Phantom_Thread')	('2017', '/wiki/2017_in_film')			
81	('Call Me by Your Name', '/wiki/Call_Me_by_Your_Name_(film)')	('2017', '/wiki/2017_in_film')			
82	('Get Out', '/wiki/Get_Out')	('2017', '/wiki/2017_in_film')			
83	('I, Tonya', '/wiki/I,_Tonya')	('2017', '/wiki/2017_in_film')			
84	('Dear Basketball', '/wiki/Dear_Basketball')	('2017', '/wiki/2017_in_film')			
85	('A Fantastic Woman', '/wiki/A_Fantastic_Woman')	('2017', '/wiki/2017_in_film')			
86	('Heaven Is a Traffic Jam on the 405', '/wiki/Heaven_Is_a_Traffic_Jam_on_the_405')	('2017', '/wiki/2017_in_film')			
87	('Icarus', '/wiki/Icarus_(2017_film)')	('2017', '/wiki/2017_in_film')			
88	('The Silent Child', '/wiki/The_Silent_Child')	('2017', '/wiki/2017_in_film')			
89	('Flesh and Sand (Carne y arena)', '/wiki/Flesh_and_Sand')	('2017', '/wiki/2017_in_film')			
90	('Moonlight', '/wiki/Moonlight_(2016_film)')	('2016', '/wiki/2016_in_film')			
91	('La La Land', '/wiki/La_La_Land_(film)')	('2016', '/wiki/2016_in_film')			
92	('Hacksaw Ridge', '/wiki/Hacksaw_Ridge')	('2016', '/wiki/2016_in_film')			
93	('Manchester by the Sea', '/wiki/Manchester_by_the_Sea_(film)')	('2016', '/wiki/2016_in_film')			
94	('Arrival', '/wiki/Arrival_(film)')	('2016', '/wiki/2016_in_film')			
95	('Fences', '/wiki/Fences_(film)')	('2016', '/wiki/2016_in_film')			
96	('Fantastic Beasts and Where to Find Them', '/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film)')	('2016', '/wiki/2016_in_film')			
97	('The Jungle Book', '/wiki/The_Jungle_Book_(2016_film)')	('2016', '/wiki/2016_in_film')			
98	('O.J.: Made in America', '/wiki/O.J.:_Made_in_America')	('2016', '/wiki/2016_in_film')			
99	('Piper', '/wiki/Piper_(film)')	('2016', '/wiki/2016_in_film')			
